symbol,company_name,sector,date_min,date_max,date_count,close_mean,close_min,close_max,close_std,volume_mean,volume_sum,daily_return_mean,daily_return_std
ABL,Allied Bank Limited,Banking,2020-01-01,2026-02-12,1578,71.9494927772551,32.85103988647461,208.55999755859375,45.65035697798253,98755.96007604562,155836905,0.1061220246852598,1.7024773509897408
ABOT,Abbott Laboratories Pakistan Limited,Pharma,2020-01-01,2026-02-12,1578,674.8034723859626,263.796630859375,1299.4599609375,256.81546559187717,27815.624207858047,43893055,0.08958761801514294,1.9120612344201187
AICL,Adamjee Insurance Company Limited,Insurance,2020-01-01,2026-02-12,1578,33.29559125404696,15.465327262878418,121.05000305175781,17.66420070215078,515590.80988593155,813602298,0.11146138467358477,2.276833725359042
APL,Attock Petroleum Limited,Oil & Gas,2020-01-01,2026-02-12,1578,290.2262445118642,111.24732208251953,635.0399780273438,129.18716687240422,70797.25602027883,111718070,0.08851480798087775,1.772760751199591
AVN,Avanceon Limited,Technology,2020-01-01,2026-02-12,1582,51.6320123473552,9.177069664001465,92.57431030273438,14.744178337254812,3292059.030973451,5208037387,0.08548535087932932,2.785458228787826
BAFL,Bank Alfalah Limited,Banking,2020-01-01,2026-02-12,1578,36.53380183605489,11.549320220947266,135.6199951171875,29.266088230732382,1927956.8637515842,3042315931,0.14223737384126303,1.9556749429645017
CHCC,Cherat Cement Company Limited,Cement,2020-01-01,2026-02-12,1578,157.48454434790085,40.10413360595703,368.5899963378906,78.61397125826521,614935.1425855514,970367655,0.15294776884826466,2.6143349705097343
DAWH,Dawood Hercules Corporation Limited,Chemicals,2020-01-01,2026-02-12,1578,112.57009425000093,54.706268310546875,298.0199890136719,56.57244345363607,534909.5272496832,844087234,0.09469158858760468,2.0318845448154423
DGKC,DG Khan Cement Company Limited,Cement,2020-01-01,2026-02-12,1578,95.26345059838434,39.11911392211914,269.1918640136719,49.245801557897856,3699884.5316856783,5838417791,0.1005227632831306,2.5080788320780583
EFOODS,English Biscuit Manufacturers Limited,Food,2020-01-02,2026-02-12,1521,74.79996421507987,42.798927307128906,120.13870239257812,13.06424058888326,492286.71794871794,748768098,0.03492821328661786,2.4724558053886097
ENGRO,Engro Corporation Limited,Chemicals,2020-01-01,2025-01-13,1302,210.34238560994467,121.06963348388672,485.3800048828125,69.13991033499036,612368.906298003,797304316,0.08957780178932338,1.6375732319732075
FCCL,Fauji Cement Company Limited,Cement,2020-01-01,2026-02-12,1578,22.132820782703742,9.791940689086914,61.04999923706055,13.6058572937676,6579988.742078581,10383222235,0.11598773997551787,2.3256761571185414
FFBL,Fauji Fertilizer Bin Qasim Limited,Fertilizer,2020-01-01,2024-12-30,1292,23.61550868184943,9.866264343261719,96.26000213623047,13.315076228118148,3556495.302631579,4594991931,0.15916977383395062,2.5294222407741076
FFC,Fauji Fertilizer Company Limited,Fertilizer,2020-01-01,2026-02-12,1578,145.83106705746573,40.510772705078125,673.1599731445312,148.53157026678835,1309163.5031685678,2065860008,0.1686644502468851,1.5097523188673383
FHAM,Fauji Meat Limited,Food,2020-01-01,2026-02-12,1581,9.257684856031153,2.191668748855591,36.810001373291016,9.218299451782062,35044.47628083491,55405317,0.20421502984769252,3.2501594898987043
FLYNG,Flying Cement Company Limited,Cement,2020-01-01,2026-02-12,1578,15.831019608542341,4.75969123840332,59.9900016784668,15.104321507274587,2099499.352978454,3313009979,0.15968420017589183,3.396744128661441
GLAXO,GlaxoSmithKline Pakistan Limited,Pharma,2020-01-01,2026-02-12,1578,178.89653186290437,65.7646484375,461.4894714355469,114.00519310144594,172293.24904942967,271878747,0.08878555858197215,2.0336848503211065
HASCOL,Hascol Petroleum Limited,Oil & Gas,2020-01-01,2026-02-12,1578,9.77634347784504,3.6700000762939453,29.649999618530273,4.976991206277675,12586333.019645121,19861233505,0.05579169626652359,3.7472941635178136
HBL,Habib Bank Limited,Banking,2020-01-01,2026-02-12,1578,107.90912144447007,45.65901184082031,363.8299865722656,66.38098216038341,2118423.3935361216,3342872115,0.09194455788256,1.963860377948118
HUBC,Hub Power Company Limited,Power,2020-01-01,2026-02-12,1578,73.50939283020445,21.37036895751953,244.2100067138672,54.88495813496341,4032383.4588086186,6363101098,0.13779050133900095,1.9773762692035757
INDU,Indus Motor Company Limited,Automobile,2020-01-01,2026-02-12,1578,1117.2601141210444,448.5406188964844,2262.51220703125,489.6229822359403,20356.64702154626,32122789,0.07967806749200047,1.541895559406868
ISL,International Steels Limited,Steel,2020-01-01,2026-02-12,1578,58.507409720668626,19.07988166809082,127.94000244140625,22.318151514736133,1143185.2807351078,1803946373,0.09283707716252218,2.520041419938834
JSCL,Jahangir Siddiqui & Company Limited,Investment,2020-01-01,2026-02-12,1578,16.20772623894937,5.9475178718566895,31.040000915527344,5.418256751392691,1767367.1108998733,2788905301,0.10448814385197999,3.1736305276930716
KAPCO,Kot Addu Power Company Limited,Power,2020-01-01,2026-02-12,1578,16.076907102448253,3.5643668174743652,39.959999084472656,8.945216757197384,2285888.7230671737,3607132405,0.11144384592925102,1.9616642164292506
KEL,K-Electric Limited,Power,2020-01-01,2026-02-12,1578,3.827712293813437,1.5700000524520874,9.420000076293945,1.196959436201953,26991627.87008872,42592788779,0.08214355038850346,3.1223977883667775
LUCK,Lucky Cement Limited,Cement,2020-01-01,2026-02-12,1578,639.7227955903995,282.4460754394531,1560.9639892578125,230.8264786145319,727589.5126742712,1148136251,0.27675725991445316,10.558154226010029
